         1100517 function calls (1100485 primitive calls) in 1.425 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000    1.425    1.425 {built-in method builtins.exec}
        1    1.340    1.340    1.425    1.425 matmult.py:1(<module>)
   125250    0.012    0.000    0.080    0.000 random.py:332(randint)
   125250    0.027    0.000    0.067    0.000 random.py:291(randrange)
   125250    0.020    0.000    0.030    0.000 random.py:242(_randbelow_with_getrandbits)
   375750    0.010    0.000    0.010    0.000 {built-in method _operator.index}
   125250    0.006    0.000    0.006    0.000 {method 'bit_length' of 'int' objects}
   158607    0.005    0.000    0.005    0.000 {method 'getrandbits' of '_random.Random' objects}
      6/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
      6/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      6/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:993(exec_module)
     16/2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
        6    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
        4    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
    63027    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        6    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       30    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      762    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.000    0.000 random.py:135(seed)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10323ea20}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1299(exec_module)
      196    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        6    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
