         1159224 function calls (1156976 primitive calls) in 0.193 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.217    0.027 __init__.py:1(<module>)
     94/1    0.000    0.000    0.193    0.193 {built-in method builtins.exec}
        1    0.013    0.013    0.193    0.193 matmult.py:1(<module>)
    107/2    0.000    0.000    0.104    0.052 <frozen importlib._bootstrap>:1349(_find_and_load)
    107/2    0.000    0.000    0.104    0.052 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    104/2    0.000    0.000    0.104    0.052 <frozen importlib._bootstrap>:911(_load_unlocked)
     93/2    0.000    0.000    0.104    0.052 <frozen importlib._bootstrap_external>:993(exec_module)
    261/4    0.000    0.000    0.102    0.026 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    390/4    0.000    0.000    0.085    0.021 {built-in method builtins.__import__}
   145/19    0.000    0.000    0.083    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   125250    0.011    0.000    0.074    0.000 random.py:332(randint)
   125250    0.025    0.000    0.063    0.000 random.py:291(randrange)
        1    0.000    0.000    0.059    0.059 __config__.py:1(<module>)
       93    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.029    0.029 multiarray.py:1(<module>)
   125250    0.018    0.000    0.029    0.000 random.py:242(_randbelow_with_getrandbits)
      175    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
      104    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       11    0.000    0.000    0.025    0.002 <frozen importlib._bootstrap_external>:1291(create_module)
       11    0.025    0.002    0.025    0.002 {built-in method _imp.create_dynamic}
      175    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.015    0.015 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.013    0.013 defmatrix.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _linalg.py:1(<module>)
     11/9    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
     11/9    0.006    0.001    0.012    0.001 {built-in method _imp.exec_dynamic}
